[2022-05-24 18:50:05,425][test_03_message.py 281][INFO]: ---- 发消息接口 ----
[2022-05-24 18:50:10,965][test_03_message.py 285][INFO]: 请求成功
[2022-05-24 18:50:10,967][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:50:10,971][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:50:11,364][test_04_home.py 301][INFO]: ---- 富豪榜接口 ----
[2022-05-24 18:50:11,531][test_04_home.py 304][INFO]: 请求成功
[2022-05-24 18:50:11,535][test_04_home.py 301][INFO]: ---- 富豪榜接口 ----
[2022-05-24 18:50:11,693][test_04_home.py 304][INFO]: 请求成功
[2022-05-24 18:50:11,698][test_04_home.py 301][INFO]: ---- 富豪榜接口 ----
[2022-05-24 18:50:11,878][test_04_home.py 304][INFO]: 请求成功
[2022-05-24 18:50:11,880][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:50:11,883][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:50:12,371][test_03_message.py 297][INFO]: ---- 邀请真人认证接口 ----
[2022-05-24 18:50:12,565][test_03_message.py 300][INFO]: 对方已真人认证
[2022-05-24 18:50:12,565][test_03_message.py 302][INFO]: {"to_user_id":"380"}
[2022-05-24 18:50:12,565][test_03_message.py 303][INFO]: 接口结果为:{'c': 10004, 'm': '对方已真人认证', 'n': '/v1/user/message/inviteRealCertification', 'd': {}, 't': '1653389411', 'r': '32.327890396118ms'}
[2022-05-24 18:50:12,578][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:50:12,581][test_04_home.py 25][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:50:13,069][test_04_home.py 316][INFO]: ---- 女神榜接口 ----
[2022-05-24 18:50:13,265][test_04_home.py 319][INFO]: 请求成功
[2022-05-24 18:50:13,269][test_04_home.py 316][INFO]: ---- 女神榜接口 ----
[2022-05-24 18:50:13,453][test_04_home.py 319][INFO]: 请求成功
[2022-05-24 18:50:13,456][test_04_home.py 316][INFO]: ---- 女神榜接口 ----
[2022-05-24 18:50:13,624][test_04_home.py 319][INFO]: 请求成功
[2022-05-24 18:50:13,625][test_04_home.py 39][INFO]: *************** 结束执行用例 ***************
[2022-05-24 18:50:13,628][test_03_message.py 24][INFO]: *************** 开始执行用例 ***************
[2022-05-24 18:50:14,007][test_03_message.py 312][INFO]: ---- 常用语列表接口 ----
[2022-05-24 18:50:14,214][test_03_message.py 315][INFO]: 请求成功
[2022-05-24 18:50:14,217][test_03_message.py 327][INFO]: ---- 增加常用语接口 ----
[2022-05-24 18:50:14,602][test_03_message.py 330][INFO]: 请求成功
[2022-05-24 18:50:14,606][test_03_message.py 327][INFO]: ---- 增加常用语接口 ----
[2022-05-24 18:50:14,966][test_03_message.py 330][INFO]: 请求成功
[2022-05-24 18:50:14,970][test_03_message.py 342][INFO]: ---- 删除常用语接口 ----
[2022-05-24 18:50:15,211][test_03_message.py 345][INFO]: 请求成功
[2022-05-24 18:50:15,215][test_03_message.py 342][INFO]: ---- 删除常用语接口 ----
[2022-05-24 18:50:15,430][test_03_message.py 345][INFO]: 请求成功
[2022-05-24 18:50:15,431][test_03_message.py 31][INFO]: *************** 结束执行用例 ***************
